species,alive,dead,alv_prop,ded_prop,total_prop,site,uid,date,factor,loc_count,geometry,lon_gda94,lat_gda94,count,avg_alive,avg_dead,avg_total,cor_av_liv,cor_av_ded,cor_av_tot
Grevillea refracta,26.0,9.0,17.218543046357617,45.0,20.46783625730994,lim04,94,20120530,0.1,7.0,POINT (135.6882506083993 -16.48567079259439),135.68825060839927,-16.485670792594394,7.0,21.571428571428573,2.857142857142857,24.428571428571427,2.1571428571428575,0.28571428571428575,2.442857142857143
Terminalia canescens,56.0,5.0,37.086092715231786,25.0,35.67251461988304,lim04,94,20120530,0.1,7.0,POINT (135.6882506083993 -16.48567079259439),135.68825060839927,-16.485670792594394,7.0,21.571428571428573,2.857142857142857,24.428571428571427,2.1571428571428575,0.28571428571428575,2.442857142857143
Acacia species,15.0,0.0,8.875739644970414,0.0,8.02139037433155,lim05,95,20120530,0.0,7.0,POINT (135.713314853143 -16.38368513085041),135.71331485314303,-16.38368513085041,,,,,,,
Buchanania obovata,6.0,0.0,3.5502958579881656,0.0,3.2085561497326207,lim05,95,20120530,0.0,7.0,POINT (135.713314853143 -16.38368513085041),135.71331485314303,-16.38368513085041,,,,,,,
Corymbia ferruginea,7.0,0.0,4.142011834319527,0.0,3.7433155080213902,lim05,95,20120530,0.0,7.0,POINT (135.713314853143 -16.38368513085041),135.71331485314303,-16.38368513085041,,,,,,,
Corymbia ptychocarpa,44.0,2.0,26.035502958579883,11.11111111111111,24.598930481283425,lim05,95,20120530,0.0,7.0,POINT (135.713314853143 -16.38368513085041),135.71331485314303,-16.38368513085041,,,,,,,
E. chlorostachys,16.0,4.0,9.467455621301776,22.22222222222222,10.695187165775401,lim05,95,20120530,0.0,7.0,POINT (135.713314853143 -16.38368513085041),135.71331485314303,-16.38368513085041,,,,,,,
E. miniata,7.0,1.0,4.142011834319527,5.555555555555555,4.27807486631016,lim05,95,20120530,0.0,7.0,POINT (135.713314853143 -16.38368513085041),135.71331485314303,-16.38368513085041,,,,,,,
E. tetrodonta,49.0,7.0,28.994082840236686,38.88888888888889,29.946524064171122,lim05,95,20120530,0.0,7.0,POINT (135.713314853143 -16.38368513085041),135.71331485314303,-16.38368513085041,,,,,,,
Grevillea pteridifolia,18.0,0.0,10.650887573964498,0.0,9.62566844919786,lim05,95,20120530,0.0,7.0,POINT (135.713314853143 -16.38368513085041),135.71331485314303,-16.38368513085041,,,,,,,
Melaleuca viridiflora,0.0,2.0,0.0,11.11111111111111,1.06951871657754,lim05,95,20120530,0.0,7.0,POINT (135.713314853143 -16.38368513085041),135.71331485314303,-16.38368513085041,,,,,,,
P. spiralis,6.0,1.0,3.5502958579881656,5.555555555555555,3.7433155080213902,lim05,95,20120530,0.0,7.0,POINT (135.713314853143 -16.38368513085041),135.71331485314303,-16.38368513085041,,,,,,,
Terminalia canescens,1.0,1.0,0.591715976331361,5.555555555555555,1.06951871657754,lim05,95,20120530,0.0,7.0,POINT (135.713314853143 -16.38368513085041),135.71331485314303,-16.38368513085041,,,,,,,
Bauhinia cunninghamii,7.0,0.0,2.5830258302583027,0.0,2.287581699346405,lim06,96,20120530,0.1,7.0,POINT (135.7115995035064 -16.30821087991679),135.7115995035064,-16.308210879916786,7.0,38.714285714285715,5.0,43.714285714285715,3.871428571428572,0.5,4.371428571428572
Brachychiton diversifolius,5.0,0.0,1.8450184501845017,0.0,1.6339869281045754,lim06,96,20120530,0.1,7.0,POINT (135.7115995035064 -16.30821087991679),135.7115995035064,-16.308210879916786,7.0,38.714285714285715,5.0,43.714285714285715,3.871428571428572,0.5,4.371428571428572
Corymbia grandifolia,42.0,0.0,15.498154981549817,0.0,13.725490196078432,lim06,96,20120530,0.1,7.0,POINT (135.7115995035064 -16.30821087991679),135.7115995035064,-16.308210879916786,7.0,38.714285714285715,5.0,43.714285714285715,3.871428571428572,0.5,4.371428571428572
Corymbia terminalis,39.0,2.0,14.391143911439114,5.714285714285714,13.398692810457517,lim06,96,20120530,0.1,7.0,POINT (135.7115995035064 -16.30821087991679),135.7115995035064,-16.308210879916786,7.0,38.714285714285715,5.0,43.714285714285715,3.871428571428572,0.5,4.371428571428572
E. chlorostachys,39.0,3.0,14.391143911439114,8.571428571428571,13.725490196078432,lim06,96,20120530,0.1,7.0,POINT (135.7115995035064 -16.30821087991679),135.7115995035064,-16.308210879916786,7.0,38.714285714285715,5.0,43.714285714285715,3.871428571428572,0.5,4.371428571428572
Eucalyptus chlorophylla,41.0,6.0,15.129151291512915,17.142857142857142,15.359477124183007,lim06,96,20120530,0.1,7.0,POINT (135.7115995035064 -16.30821087991679),135.7115995035064,-16.308210879916786,7.0,38.714285714285715,5.0,43.714285714285715,3.871428571428572,0.5,4.371428571428572
